Facility ID,Facility Name,Facility Type,District,Description,Has Clinic,Status,Created At,Updated At
cme99emdf004tjncdedjc5csy,"Khawlian SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99en0i00sdjncdr4bxh9qr,"Khawmawi AYUSH SC","A_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emll00ebjncdoam4ufd6,"Khawmawi SC","SC_HWC","Lawngtlai","",No,Active,"13/08/2025","13/08/2025"
cme99emuz00m9jncdhpqavlet,"Khawrihnim SC","SC_HWC","Mamit","",No,Active,"13/08/2025","13/08/2025"
cme99em95000ljncdsu6likqi,"Khawruhlian PHC","PHC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emdc004njncdmcunkc59,"Khawruhlian SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99ema5001hjncdic5hwx4y,"Khawzawl PHC","PHC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emjb00bvjncd4gcy48je,"Khawzawl SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emhi009tjncd6i68lswi,"Khuangleng SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emib00atjncdlmlzr4e6,"Khuangphah SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emz700qxjncd99bqgb8x,"Khuangthing AYUSH SC","A_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99emj100bhjncdkjg994gn,"Khuangthing SC","SC_HWC","Champhai","",No,Active,"13/08/2025","13/08/2025"
cme99en0200rrjncd2m9ahvpf,"Khumtung AYUSH SC","A_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emew006bjncd1ye5cc6s,"Khumtung SC","SC_HWC","Aizawl East","",No,Active,"13/08/2025","13/08/2025"
cme99emk300crjncdjtisxgop,"Kolasib Vengthar SC","SC_HWC","Kolasib","",No,Active,"13/08/2025","13/08/2025"
cme99emy900pvjncdf1gctefo,"Kolasib Vengthar UHWC","U_HWC","Kolasib","",No,Active,"13/08/2025","18/08/2025"
cme99emgb0083jncdt290af0y,"Kulikawn SC","SC_HWC","Aizawl West","",No,Active,"13/08/2025","13/08/2025"
cme99emq500hljncdh695nelz,"Laisawral SC","SC_HWC","Lunglei","",No,Active,"13/08/2025","13/08/2025"
cme99emvt00ndjncdiv9tj8n0,"Laki SC","SC_HWC","Saiha","",No,Active,"13/08/2025","13/08/2025"
